Model,Type,Compare,Loss,MSE,CosineSimilarity,KL(x||y),KL(y||x),JS Divergence,Bhattacharyya,Wasserstein
PCA_MLP,CM,path1_full_dec,1273.071533203125,1.2432340383529663,0.5834548473358154,4038.970703125,5856497.5,2930268.25,,35.65547561645508
PCA_MLP,CM,path1_full_inv,88.5988540649414,0.08652231842279434,0.9534621834754944,348.896240234375,60.2410888671875,204.56866455078125,,6.653213024139404
MLP,CM,path1_full_for,1387.6927490234375,1.3551687002182007,0.5640802979469299,4137.93505859375,6054228.0,3029183.0,3536.396484375,36.67127990722656
MLP,CM,path1_full_dec,1276.3927001953125,1.2464772462844849,0.5820552706718445,4096.8037109375,6380503.0,3192300.0,inf,35.70151138305664
MLP,CM,path1_full_inv,110.31661224365234,0.10773105174303055,0.9709265232086182,28.393096923828125,551825.6875,275927.03125,inf,5.584007740020752
MiniViT,CM,path1_full_for,1904.5906982421875,1.8599517345428467,0.43909376859664917,4569.58349609375,6481372.0,3242970.75,5232.2607421875,43.63230514526367
MiniViT,CM,path1_full_dec,1881.6259765625,1.837525486946106,0.5309469699859619,4559.3466796875,7850358.5,3927459.0,5773.17431640625,43.36833572387695
MiniViT,CM,path1_full_inv,0.29445841908454895,0.0002875570789910853,0.9023793339729309,158.86260986328125,755.008056640625,456.9353332519531,6367.52587890625,0.5230974555015564
UNet,CM,path1_full_for,1882.8084716796875,1.8386801481246948,0.22249563038349152,4581.18408203125,6842779.0,3423680.0,,43.38213348388672
UNet,CM,path1_full_dec,1878.74072265625,1.8347076177597046,0.24232885241508484,4577.986328125,7478447.0,3741512.5,,43.335304260253906
UNet,CM,path1_full_inv,0.022200288251042366,2.1679967176169157e-05,0.9985210299491882,21.06854248046875,54.3916015625,37.730072021484375,,0.14651228487491608
PCA_MLP,CM,path1_full_for,1904.2454833984375,1.8596147298812866,0.2600371539592743,4500.3154296875,5589407.0,2796953.75,,43.51435852050781
PCA_MLP,CM,path1_full_dec,1578.9595947265625,1.5419527292251587,0.4423763155937195,4288.5009765625,6384272.5,3194280.5,4351.4375,39.72286605834961
PCA_MLP,CM,path1_full_inv,185.91836547851562,0.1815609186887741,0.7690147757530212,93.67041015625,92949.25,46521.4609375,,11.525741577148438
MLP,CM,path1_full_for,1427.7947998046875,1.3943308591842651,0.5092344284057617,4177.33203125,6317109.0,3160643.25,4046.566162109375,37.762596130371094
MLP,CM,path1_full_dec,1415.009033203125,1.3818448781967163,0.5130541920661926,4191.94677734375,6762757.5,3383474.75,4193.93017578125,37.59343719482422
MLP,CM,path1_full_inv,8.590675354003906,0.008389330469071865,0.9978384375572205,31.0394287109375,2761.282958984375,1396.1611328125,3926.7041015625,2.3889384269714355
